,Airline,Journey_date,From,To,Dtime,Atime,Stops,Price
0,,,,,,,,
0,AirAsia,26/10/2021,Mumbai,Bengaluru,11:40,18:55,1 stop via New Delhi,"₹ 5,100"
1,Go First,26/10/2021,Mumbai,Bengaluru,06:05,07:45,Non stop,"₹ 5,102"
2,Go First,26/10/2021,Mumbai,Bengaluru,18:05,19:45,Non stop,"₹ 5,102"
3,Go First,26/10/2021,Mumbai,Bengaluru,22:15,00:05,Non stop,"₹ 5,102"
4,Go First,26/10/2021,Mumbai,Bengaluru,09:50,13:25,1 stop via Goa,"₹ 5,102"
5,Go First,26/10/2021,Mumbai,Bengaluru,09:50,13:25,1 stop via Goa,"₹ 5,102"
6,Go First,26/10/2021,Mumbai,Bengaluru,05:35,13:25,1 stop via Goa,"₹ 5,102"
7,Go First,26/10/2021,Mumbai,Bengaluru,16:00,22:15,1 stop via Ahmedabad,"₹ 5,102"
8,Go First,26/10/2021,Mumbai,Bengaluru,11:50,22:15,1 stop via Ahmedabad,"₹ 5,102"
9,Go First,26/10/2021,Mumbai,Bengaluru,15:45,22:20,1 stop via New Delhi,"₹ 5,102"
10,Go First,26/10/2021,Mumbai,Bengaluru,16:10,23:40,1 stop via Jaipur,"₹ 5,102"
11,Go First,26/10/2021,Mumbai,Bengaluru,08:30,23:40,1 stop via Jaipur,"₹ 5,102"
12,Go First,26/10/2021,Mumbai,Bengaluru,21:40,08:20,1 stop via New Delhi,"₹ 5,102"
13,Go First,26/10/2021,Mumbai,Bengaluru,19:20,08:20,1 stop via New Delhi,"₹ 5,102"
14,IndiGo,26/10/2021,Mumbai,Bengaluru,05:10,06:45,Non stop,"₹ 5,103"
15,Air India,26/10/2021,Mumbai,Bengaluru,09:30,11:10,Non stop,"₹ 5,103"
16,IndiGo,26/10/2021,Mumbai,Bengaluru,09:55,11:40,Non stop,"₹ 5,103"
17,IndiGo,26/10/2021,Mumbai,Bengaluru,15:00,16:45,Non stop,"₹ 5,103"
18,Air India,26/10/2021,Mumbai,Bengaluru,16:45,18:30,Non stop,"₹ 5,103"
19,IndiGo,26/10/2021,Mumbai,Bengaluru,17:45,19:25,Non stop,"₹ 5,103"
20,IndiGo,26/10/2021,Mumbai,Bengaluru,19:25,21:10,Non stop,"₹ 5,103"
21,IndiGo,26/10/2021,Mumbai,Bengaluru,20:45,22:35,Non stop,"₹ 5,103"
22,AirAsia,26/10/2021,Mumbai,Bengaluru,12:15,13:50,Non stop,"₹ 5,104"
23,Vistara,26/10/2021,Mumbai,Bengaluru,16:00,17:45,Non stop,"₹ 5,104"
24,Vistara,26/10/2021,Mumbai,Bengaluru,19:10,20:55,Non stop,"₹ 5,104"
25,AirAsia,26/10/2021,Mumbai,Bengaluru,20:50,22:25,Non stop,"₹ 5,104"
26,Vistara,26/10/2021,Mumbai,Bengaluru,21:00,22:50,Non stop,"₹ 5,104"
27,IndiGo,26/10/2021,Mumbai,Bengaluru,07:05,09:00,Non stop,"₹ 5,208"
28,IndiGo,26/10/2021,Mumbai,Bengaluru,13:45,15:25,Non stop,"₹ 5,208"
29,Vistara,26/10/2021,Mumbai,Bengaluru,07:00,08:50,Non stop,"₹ 5,681"
30,Vistara,26/10/2021,Mumbai,Bengaluru,09:05,10:45,Non stop,"₹ 5,681"
31,IndiGo,26/10/2021,Mumbai,Bengaluru,08:35,10:15,Non stop,"₹ 6,048"
32,IndiGo,26/10/2021,Mumbai,Bengaluru,16:30,18:15,Non stop,"₹ 6,048"
33,IndiGo,26/10/2021,Mumbai,Bengaluru,12:05,16:25,1 stop via Hyderabad,"₹ 7,991"
34,IndiGo,26/10/2021,Mumbai,Bengaluru,12:05,16:25,1 stop via Hyderabad,"₹ 7,991"
35,IndiGo,26/10/2021,Mumbai,Bengaluru,13:45,19:50,1 stop via Hyderabad,"₹ 7,991"
36,IndiGo,26/10/2021,Mumbai,Bengaluru,15:50,21:05,1 stop via Mangalore,"₹ 8,043"
37,IndiGo,26/10/2021,Mumbai,Bengaluru,18:05,22:35,1 stop via Goa,"₹ 8,096"
38,IndiGo,26/10/2021,Mumbai,Bengaluru,16:45,22:35,1 stop via Goa,"₹ 8,096"
39,Vistara,26/10/2021,Mumbai,Bengaluru,11:25,16:00,1 stop via Goa,"₹ 8,148"
40,Vistara,26/10/2021,Mumbai,Bengaluru,10:15,16:00,1 stop via Goa,"₹ 8,148"
41,IndiGo,26/10/2021,Mumbai,Bengaluru,18:15,22:35,1 stop via Hyderabad,"₹ 8,253"
42,IndiGo,26/10/2021,Mumbai,Bengaluru,16:25,22:35,1 stop via Hyderabad,"₹ 8,253"
43,IndiGo,26/10/2021,Mumbai,Bengaluru,10:35,16:25,1 stop via Hyderabad,"₹ 8,516"
44,IndiGo,26/10/2021,Mumbai,Bengaluru,09:00,14:15,1 stop via Goa,"₹ 8,621"
45,IndiGo,26/10/2021,Mumbai,Bengaluru,09:00,13:25,1 stop via Goa,"₹ 8,936"
46,IndiGo,26/10/2021,Mumbai,Bengaluru,13:00,17:45,1 stop via Chennai,"₹ 8,936"
0,AirAsia,27/10/2021,Mumbai,Bengaluru,23:05,10:50,1 stop via New Delhi,"₹ 5,100"
1,Go First,27/10/2021,Mumbai,Bengaluru,06:05,07:45,Non stop,"₹ 5,102"
2,Go First,27/10/2021,Mumbai,Bengaluru,18:05,19:45,Non stop,"₹ 5,102"
3,Go First,27/10/2021,Mumbai,Bengaluru,22:15,00:05,Non stop,"₹ 5,102"
4,Go First,27/10/2021,Mumbai,Bengaluru,09:50,13:25,1 stop via Goa,"₹ 5,102"
5,Go First,27/10/2021,Mumbai,Bengaluru,09:50,13:25,1 stop via Goa,"₹ 5,102"
6,Go First,27/10/2021,Mumbai,Bengaluru,05:35,13:25,1 stop via Goa,"₹ 5,102"
7,Go First,27/10/2021,Mumbai,Bengaluru,07:40,15:20,1 stop via Kolkata,"₹ 5,102"
8,Go First,27/10/2021,Mumbai,Bengaluru,13:55,20:50,1 stop via Ranchi,"₹ 5,102"
9,Go First,27/10/2021,Mumbai,Bengaluru,11:50,22:15,1 stop via Ahmedabad,"₹ 5,102"
10,Go First,27/10/2021,Mumbai,Bengaluru,15:45,22:20,1 stop via New Delhi,"₹ 5,102"
11,Go First,27/10/2021,Mumbai,Bengaluru,16:10,23:40,1 stop via Jaipur,"₹ 5,102"
12,Go First,27/10/2021,Mumbai,Bengaluru,22:15,08:20,1 stop via New Delhi,"₹ 5,102"
13,Go First,27/10/2021,Mumbai,Bengaluru,20:40,08:20,1 stop via New Delhi,"₹ 5,102"
14,Spicejet,27/10/2021,Mumbai,Bengaluru,17:55,09:25,1 stop via Belgaum,"₹ 5,102"
15,IndiGo,27/10/2021,Mumbai,Bengaluru,05:10,06:45,Non stop,"₹ 5,103"
16,Air India,27/10/2021,Mumbai,Bengaluru,06:15,07:55,Non stop,"₹ 5,103"
17,IndiGo,27/10/2021,Mumbai,Bengaluru,07:05,09:00,Non stop,"₹ 5,103"
18,IndiGo,27/10/2021,Mumbai,Bengaluru,08:35,10:15,Non stop,"₹ 5,103"
19,IndiGo,27/10/2021,Mumbai,Bengaluru,09:55,11:40,Non stop,"₹ 5,103"
20,IndiGo,27/10/2021,Mumbai,Bengaluru,13:45,15:25,Non stop,"₹ 5,103"
21,IndiGo,27/10/2021,Mumbai,Bengaluru,15:00,16:45,Non stop,"₹ 5,103"
22,IndiGo,27/10/2021,Mumbai,Bengaluru,16:30,18:15,Non stop,"₹ 5,103"
23,Air India,27/10/2021,Mumbai,Bengaluru,17:15,19:00,Non stop,"₹ 5,103"
